연번,구인신청일자,모집기간,사업장명,모집직종,고용형태,임금형태,임금,입사형태,요구경력,요구학력,전공계열,요구자격증,사업장 주소,기업형태,담당기관,등록일,연락처
1,2022-09-30,2022-09-30~2022-12-29,삼성엔지니어링(주),총무 및 일반 사무원,계약직,연봉,15600000,무관,0년개월,초대졸,,    ,서울특별시 강동구 상일로6길 26 삼성엔지니어링 글로벌엔지니어링센터,중소,서울동부지사,2022-10-07,1588-1519
2,2022-09-30,2022-09-30~2022-10-28,(주)빌리스코리아,"일반 예약·접수 사무원(AS, 고장, 가입 및 호텔, 콘도 등 제외)",상용직,시급,9160,무관,0년개월,대졸,,    ,제주특별자치도 서귀포시 천제연로178번길 26 (중문동),중소,제주지사,2022-10-04,1588-1519
3,2022-09-30,2022-09-30~2022-10-14,한국산업기술진흥원,공공행정 사무원,상용직,월급,2000000,무관,0년개월,무관,,    ,서울특별시 강남구 테헤란로 305 한국기술센터 (역삼동),"공사,공공",서울동부지사,2022-10-06,1588-1519
4,2022-09-30,2022-09-30~2022-10-26,엠에스코리아,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9160,무관,0년개월,무관,,    ,서울특별시 강동구 상일동 280번지,개인,서울동부지사,2022-09-30,1588-1519
5,2022-09-30,2022-09-30~2022-10-26,(주)도노,음료 조리사(바리스타 포함),계약직,시급,9160,무관,무관,무관,,    ,"경기도 하남시 미사강변서로 25 제8층 제에프849호(풍산동, 미사테스타타워지식산업센터)",중소,서울동부지사,2022-09-30,1588-1519
6,2022-09-30,2022-09-30~2022-10-31,쿠팡로지스틱스서비스유한회사,사무 보조원(일반사업체),계약직,월급,2060000,무관,0년개월,무관,,    ,서울특별시 강남구 테헤란로 332 (역삼동) 현정빌딩 9층,대기업,서울동부지사,2022-09-30,1588-1519
7,2022-09-30,2022-09-30~2022-10-31,쿠팡로지스틱스서비스유한회사,인사 사무원,계약직,월급,2060000,무관,0년개월,무관,,    ,서울특별시 강남구 테헤란로 332 (역삼동) 현정빌딩 9층,대기업,서울동부지사,2022-09-30,1588-1519
8,2022-09-30,2022-09-30~2022-10-07,(주)엠티데이타,시스템 소프트웨어 개발자(프로그래머),계약직,연봉,25000000,무관,무관,대졸,,    ,경기도 성남시 분당구 판교로255번길 9-22 판교우림W-City 514호 (삼평동),중소,경기동부지사,2022-09-30,1588-1519
9,2022-09-30,2022-09-30~2022-10-31,주식회사 더블루,음료 조리사(바리스타 포함),상용직,시급,9160,무관,0년개월,무관,,    ,서울특별시 금천구 두산로 70 (독산동) 비동 436,개인,경기동부지사,2022-09-30,1588-1519
10,2022-09-30,2022-09-30~2022-10-28,㈜더사랑,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",계약직,시급,9160,무관,0년개월,무관,,    ,서울특별시 중랑구 신내역로3길 40-36 (신내동) B동 지하 1층 0B103호,중소,서울북부지사,2022-09-30,1588-1519
