연번,구인신청일자,모집기간,사업장명,모집직종,고용형태,임금형태,임금,입사형태,요구경력,요구학력,전공계열,요구자격증,사업장 주소,기업형태,담당기관,등록일,연락처
1,2023-02-28,2023-02-28~2023-04-30,쿠팡 주식회사,마케팅 전문가,계약직,월급,2100000,무관,무관,무관,,    ,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사,2023-02-28,1588-1519
2,2023-02-28,2023-02-28~2023-04-30,쿠팡 주식회사,UX/UI 디자이너,계약직,월급,2100000,무관,무관,무관,,    ,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사,2023-02-28,1588-1519
3,2023-02-28,2023-02-28~2023-04-30,글로벌브랜드그룹코리아 유한회사,경영 기획 사무원,계약직,월급,850000,무관,무관,무관,,    ,서울특별시 강남구 언주로 709 (논현동),외국계,서울동부지사,2023-03-02,1588-1519
4,2023-02-28,2023-02-28~2023-03-07,서울아산병원,안마사,계약직,월급,1800000,무관,무관,무관,,    ,서울특별시 송파구 올림픽로43길 88 서울아산병원 총무팀 (풍납동),대기업,서울동부지사,2023-03-06,1588-1519
5,2023-02-28,2023-02-28~2023-03-07,쿠팡풀필먼트서비스유한회사,총무 및 일반 사무원,계약직,월급,1080000,무관,무관,무관,,    ,서울특별시 송파구 송파대로 570 8층 (신천동),중소,서울동부지사,2023-02-28,1588-1519
6,2023-02-28,2023-02-28~2023-03-10,(주)더휴,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",시간제,시급,9620,무관,무관,무관,,    ,부산광역시 사상구 낙동대로 1356 ---,중소,서울동부지사,2023-03-06,1588-1519
7,2023-02-28,2023-02-28~2023-03-02,라파지압원,안마사,상용직,시급,9620,무관,0년개월,무관,,    ,"경상남도 김해시 진영읍 여래로 27 (여래리), 201호",개인,경남지사,2023-03-02,1588-1519
8,2023-02-28,2023-02-28~2023-03-31,사단법인 대한민국공무원 공상유공자회 기계사업부,자동차 부분품 조립·검사원,상용직,월급,1260000,무관,무관,무관,,    ,경상남도 창원시 의창구 대산면 봉강가술로 567-10 (가술리),중소,경남지사,2023-03-02,1588-1519
9,2023-02-28,2023-02-28~2023-05-26,(사)제주특별자치도지적발달장애인복지협회,시설 요양보호사(노인요양사),계약직,월급,1260220,무관,무관,무관,,    ,제주특별자치도 제주시 광양4길 32 3층 (이도일동),"협회,단체",제주지사,2023-03-02,1588-1519
10,2023-02-28,2023-02-28~2023-03-31,도가촌,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",상용직,시급,9620,무관,0년개월,무관,,    ,제주특별자치도 서귀포시 동홍동로 39 (동홍동),개인,제주지사,2023-02-28,1588-1519
11,2023-02-28,2023-02-28~2023-03-31,중앙로복지용구센터,사무 보조원(일반사업체),계약직,시급,9620,무관,0년개월,고졸,,    ,제주특별자치도 제주시 중앙로 91 (이도일동),개인,제주지사,2023-02-28,1588-1519
12,2023-02-28,2023-02-28~2023-04-30,공생가 사회적협동조합(카페 관저435),주입·포장·상표부착기 등 기타 기계 조작원,상용직,시급,9620,무관,0년개월,무관,,    ,대전광역시 서구 관저동로 43-5 (관저동) 1층,"협회,단체",대전지역본부,2023-02-28,1588-1519
13,2023-02-28,2023-02-28~2023-03-31,디비손해보험주식회사,환경 미화원,상용직,월급,1020000,무관,무관,무관,,    ,서울특별시 강남구 테헤란로 432  (대치동),중소,경기지역본부,2023-02-28,1588-1519
14,2023-02-28,2023-02-28~2023-03-17,에스더블유엠(주),"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",상용직,시급,9620,무관,무관,무관,,    ,서울특별시 강남구 테헤란로 512 대치동 신안빌딩 8층 에스더블유엠(주) (대치동),중소,경기지역본부,2023-02-28,1588-1519
15,2023-02-28,2023-02-28~2023-03-11,(주)디에이치이,주입·포장·상표부착기 등 기타 기계 조작원,상용직,시급,9620,무관,무관,무관,,    ,충청북도 충주시 대소원면 메가폴리스3로 129 (주)디에이치이,중소,충북지사,2023-02-28,1588-1519
16,2023-02-28,2023-02-28~2023-03-07,이리부천초등학교,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",상용직,시급,9620,무관,0년개월,무관,,    ,전라북도 익산시 부송1로 32 (부송동),"공사,공공",전북지사,2023-02-28,1588-1519
17,2023-02-28,2023-02-28~2023-03-15,의료법인 디딤의료재단 우리요양병원,환경 미화원,상용직,월급,1760460,무관,무관,무관,,    ,전라북도 전주시 덕진구 안덕원로 291 우리요양병원,중소,전북지사,2023-02-28,1588-1519
18,2023-02-28,2023-02-28~2023-03-03,케이티씨에스,사무 보조원(일반사업체),시간제,시급,9620,무관,0년개월,무관,,    ,대구광역시 중구 동덕로 167 (동인동2가)kt대구타워 신관 8층,대기업,대구지역본부,2023-02-28,1588-1519
19,2023-02-28,2023-02-28~2023-03-08,제일학원,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",계약직,월급,2000000,무관,0년개월,무관,,    ,인천광역시 중구 홍예문로 39 (송학동2가),"공사,공공",인천지사,2023-02-28,1588-1519
20,2023-02-28,2023-02-28~2023-05-01,에스엘로지스틱스,일반 택배원(퀵서비스 포함),상용직,월급,1400000,무관,0년개월,무관,,    ,인천광역시 연수구 인천타워대로 323 (송도동)오피스비동 1703호,중소,인천지사,2023-02-28,1588-1519
21,2023-02-28,2023-02-28~2023-03-07,국립아시아문화전당,공공행정 사무원,상용직,월급,2150580,경력,1년0개월,무관,,    ,광주광역시 동구 문화전당로 38 (광산동),"공사,공공",광주지역본부,2023-02-28,1588-1519
22,2023-02-28,2023-02-28~2023-03-13,(주)연진,자동차 조립·검사원,상용직,시급,9620,무관,0년개월,무관,,    ,광주광역시 광산구 진곡산단5번로 17-4 (진곡동),개인,광주지역본부,2023-03-07,1588-1519
23,2023-02-28,2023-02-28~2023-04-20,삼신교통(주),"노선버스 운전원(시내, 마을, 시외, 고속)",상용직,시급,9620,무관,무관,무관,,    ,부산광역시 금정구 중앙대로 2310  (노포동),중소,부산지역본부,2023-03-02,1588-1519
24,2023-02-28,2023-02-28~2023-03-15,동신초등학교,사서,계약직,시급,9610,무관,무관,무관,,    ,"부산광역시 서구 대영로85번길 81-19 (동대신동3가,동신초등학교)","공사,공공",부산지역본부,2023-02-28,1588-1519
25,2023-02-28,2023-02-28~2023-03-17,부산커피협동조합,음료 조리사(바리스타 포함),시간제,시급,9620,무관,무관,무관,,    ,부산광역시 남구 황령대로319번가길 53 (대연동),중소,부산지역본부,2023-02-28,1588-1519
26,2023-02-28,2023-02-28~2023-03-02,경북대학교병원,환경 미화원,상용직,연봉,27900000,무관,무관,무관,,    ,대구광역시 중구 동덕로 130 (삼덕동2가),중소,대구지역본부,2023-02-28,1588-1519
27,2023-02-28,2023-02-28~2023-03-01,경북여자고등학교,환경 미화원,계약직,시급,9620,무관,무관,무관,,    ,대구광역시 중구 중앙대로 288 (남산동),"공사,공공",대구지역본부,2023-02-28,1588-1519
28,2023-02-28,2023-02-28~2023-03-01,시지고등학교,환경 미화원,계약직,시급,9620,무관,무관,무관,,    ,"대구광역시 수성구 신매로 6 (신매동,시지고등학교)","공사,공공",대구지역본부,2023-02-28,1588-1519
