연번,구직등록일,연령,희망지역,희망직종,희망임금,장애유형,중증여부,기관분류
1,2022-01-01,39,경기 수원시,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",(시급)8720,지적장애,중증,공단
2,2022-01-01,39,서울특별시,사무 보조원(일반사업체),(시급)9160,지체장애,경증,공단
3,2022-01-01,57,충남 당진시,사무 보조원(공공기관),(시급)9160,지체장애,경증,공단
4,2022-01-01,40,충남 서산시,음료 조리사(바리스타 포함),(시급)9160,뇌병변장애,경증,공단
5,2022-01-01,35,충남 천안시 서북구,자동조립라인 조작원,(시급)9160,청각장애,중증,공단
6,2022-01-01,30,서울 서초구,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",(시급)9160,자폐성장애,중증,공단
7,2022-01-01,51,충남 서산시,음료 조리사(바리스타 포함),(시급)9160,시각장애,경증,공단
8,2022-01-01,28,강원 강릉시,세탁원(다림질원),(시급)9160,지적장애,중증,공단
9,2022-01-01,56,서울 송파구,환경 미화원,(시급)8720,뇌병변장애,경증,공단
10,2022-01-01,24,충남 당진시,자동차 부분품 조립·검사원,(시급)9160,지적장애,중증,공단
11,2022-01-01,24,충남 서산시,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
12,2022-01-01,20,경북 구미시,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
13,2022-01-01,23,충남 서산시,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
14,2022-01-01,26,서울 서초구,사무 보조원(일반사업체),(시급)9160,지적장애,중증,공단
15,2022-01-01,24,충남 서산시,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
16,2022-01-01,23,충남 태안군,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
17,2022-01-01,25,충남 서산시,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
18,2022-01-01,21,경북 김천시,사무 보조원(일반사업체),(시급)9160,뇌병변장애,경증,공단
19,2022-01-01,25,서울 금천구,물류 사무원(물류 관리사),(시급)8720,지체장애,경증,공단
20,2022-01-01,32,서울 서초구,사무 보조원(공공기관),(시급)9160,지적장애,중증,공단
21,2022-01-01,30,충남 당진시,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
22,2022-01-01,19,경북 구미시,세탁원(다림질원),(시급)9160,자폐성장애,중증,공단
23,2022-01-01,19,경북 구미시,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
24,2022-01-01,19,경북 구미시,환경 미화원,(시급)9160,지적장애,중증,공단
25,2022-01-01,20,경북 구미시,한식 조리사(일반 음식점),(일급)9160,지적장애,중증,공단
26,2022-01-01,21,경북 구미시,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
27,2022-01-01,19,경북 상주시,통신기기 부품·제품 조립원(핸드폰),(시급)9160,지적장애,중증,공단
28,2022-01-01,21,경북 안동시,사무 보조원(공공기관),(시급)9160,지적장애,중증,공단
29,2022-01-01,32,강원 강릉시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
30,2022-01-01,21,경북 안동시,사무 보조원(공공기관),(시급)9160,지적장애,중증,공단
31,2022-01-01,22,경북 상주시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,자폐성장애,중증,공단
32,2022-01-01,21,경북 구미시,음료 조리사(바리스타 포함),(시급)9160,자폐성장애,중증,공단
33,2022-01-01,21,경북 구미시,사무 보조원(공공기관),(시급)9160,지적장애,중증,공단
34,2022-01-01,21,경북 구미시,사무 보조원(공공기관),(시급)9160,지적장애,중증,공단
35,2022-01-01,21,경북 구미시,환경 미화원,(시급)9160,자폐성장애,중증,공단
36,2022-01-01,20,경북 구미시,사무 보조원(공공기관),(시급)9160,자폐성장애,중증,공단
37,2022-01-01,50,경기 수원시,환경 미화원,(시급)9160,지체장애,경증,공단
38,2022-01-02,54,경북 구미시,안마사,(시급)9160,시각장애,중증,공단
39,2022-01-02,38,경북 김천시,종이제품 생산기계 조작원,(시급)9160,시각장애,경증,공단
40,2022-01-02,32,경북 김천시,종이제품 생산기계 조작원,(시급)9160,지적장애,중증,공단
41,2022-01-02,25,경북 경주시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,자폐성장애,중증,공단
42,2022-01-02,25,경북 경주시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,자폐성장애,중증,공단
43,2022-01-02,23,경북 경주시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
44,2022-01-02,32,경북 경주시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
45,2022-01-02,55,경북 구미시,세탁 기계 조작원,(시급)9160,정신장애,중증,공단
46,2022-01-02,19,경북 경주시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
47,2022-01-02,20,경북 상주시,환경 미화원,(시급)9160,지적장애,중증,공단
48,2022-01-03,43,부산 남구,사무 보조원(공공기관),(시급)9160,지적장애,중증,공단
49,2022-01-03,53,울산 남구,사무 보조원(공공기관),(시급)9160,지체장애,경증,공단
50,2022-01-03,42,광주 광산구,정부행정 관리자,(월급)2000000,지체장애,중증,공단
51,2022-01-03,62,대구 동구,사무 보조원(공공기관),(시급)9160,지체장애,중증,공단
52,2022-01-03,68,광주 서구,생산·품질 사무원 및 관리원(화학·섬유·의료),(시급)9720,지체장애,경증,공단
53,2022-01-03,66,경기 하남시,LED 부품·제품 조립·검사원,(시급)9160,지체장애,경증,공단
54,2022-01-03,57,경남 김해시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,청각장애,중증,공단
55,2022-01-03,38,인천광역시,기타 기계 조립·검사원,(시급)8720,지적장애,중증,공단
56,2022-01-03,36,제주 제주시,세탁원(다림질원),(월급)1944140,지적장애,중증,공단
57,2022-01-03,60,경남 양산시,직업 운동선수,(월급)970000,지체장애,중증,공단
58,2022-01-03,35,경남 창원시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
59,2022-01-03,36,서울 광진구,귀금속·보석 세공원,(월급)1000000,지적장애,중증,공단
60,2022-01-03,37,전북 전주시,주입·포장·상표부착기 등 기타 기계 조작원,(월급)1000000,지적장애,중증,공단
61,2022-01-03,67,대구 달서구,아파트·빌라 경비원,(시급)8720,지체장애,경증,공단
62,2022-01-03,39,충북 옥천군,사무 보조원(공공기관),(시급)9160,지체장애,중증,공단
63,2022-01-03,44,전남 목포시,택시 운전원,(시급)8720,뇌병변장애,경증,공단
64,2022-01-03,36,경기 남양주시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(월급)1914440,뇌병변장애,경증,공단
65,2022-01-03,34,인천 부평구,사무 보조원(공공기관),(시급)9160,지적장애,중증,공단
66,2022-01-03,38,경남 김해시,기계·금속 분야 단순 종사원,(시급)9120,지적장애,중증,공단
67,2022-01-03,43,서울 성동구,모니터 요원,(시급)9160,지체장애,경증,공단
68,2022-01-03,34,경기 구리시,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,자폐성장애,중증,공단
69,2022-01-03,34,인천 미추홀구,공예원,(월급)800000,지적장애,중증,공단
70,2022-01-03,34,경기 고양시 덕양구,쇼핑몰택배 준비원,(시급)8720,자폐성장애,중증,공단
71,2022-01-03,39,부산 수영구,사무 보조원(공공기관),(시급)9160,뇌병변장애,경증,공단
72,2022-01-03,46,서울 구로구,법무 사무원(일반 기업체),(연봉)26000000,정신장애,중증,공단
73,2022-01-03,33,서울특별시,배우 및 모델,(시급)9160,청각장애,중증,공단
74,2022-01-03,55,경남 창원시,안마사,(시급)9160,시각장애,중증,공단
75,2022-01-03,60,경남 김해시,직업 운동선수,(월급)980000,지체장애,중증,공단
76,2022-01-03,34,광주 광산구,기타 전자 부품·제품 조립·검사원,(시급)9160,지적장애,중증,공단
77,2022-01-03,50,전남 순천시,직업 운동선수,(시급)9160,지체장애,경증,공단
78,2022-01-03,32,전남 나주시,제조 단순 종사원,(시급)9160,지적장애,중증,공단
79,2022-01-03,32,제주 제주시,사무 보조원(공공기관),(월급)1830000,지적장애,중증,공단
80,2022-01-03,36,경남 창원시,총무 및 일반 사무원,(시급)9160,지체장애,경증,공단
81,2022-01-03,62,서울 중구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,청각장애,경증,공단
82,2022-01-03,38,충남 천안시,총무 및 일반 사무원,(시급)9160,뇌병변장애,중증,공단
83,2022-01-03,41,경남 창원시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지체장애,경증,공단
84,2022-01-03,53,울산 남구,모니터 요원,(시급)9160,시각장애,중증,공단
85,2022-01-03,31,울산 북구,세탁원(다림질원),(시급)9160,지적장애,중증,공단
86,2022-01-03,61,부산 해운대구,사무 보조원(일반사업체),(시급)8720,지체장애,중증,공단
87,2022-01-03,30,대전 중구,사무 보조원(공공기관),(시급)9160,지적장애,중증,공단
88,2022-01-03,42,경북 포항시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,정신장애,중증,공단
89,2022-01-03,28,부산 사하구,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
90,2022-01-03,62,충남 천안시,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,지체장애,경증,공단
91,2022-01-03,30,인천 동구,공예원,(시급)8720,지적장애,중증,공단
92,2022-01-03,34,전남 목포시,식품 분야 단순 종사원,(시급)9160,지적장애,중증,공단
93,2022-01-03,29,광주 광산구,생산·품질 사무원 및 관리원(기계·자동차·금속),(시급)9720,지적장애,중증,공단
94,2022-01-03,43,경기 군포시,주방 보조원(일반 음식점),(월급)1200000,청각장애,중증,공단
95,2022-01-03,55,서울특별시,사무 보조원(공공기관),(월급)1400000,지체장애,경증,공단
96,2022-01-03,28,광주 광산구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)8720,지적장애,중증,공단
97,2022-01-03,39,전북 전주시 덕진구,제과·제빵원,(시급)9160,지적장애,중증,공단
98,2022-01-03,27,경북 경산시,제조 단순 종사원,(월급)2000000,시각장애,중증,공단
99,2022-01-03,56,서울 관악구,환경 미화원,(시급)8720,지체장애,경증,공단
100,2022-01-03,71,대구 달서구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)8720,지체장애,경증,공단
101,2022-01-03,68,대구 수성구,주차 관리·안내원,(월급)2000000,지체장애,경증,공단
102,2022-01-03,36,경북 구미시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지체장애,경증,공단
103,2022-01-03,39,전체,사회복지사,(연봉)27000000,언어장애,중증,공단
104,2022-01-03,30,전북 익산시,재가 요양보호사,(시급)9160,자폐성장애,중증,공단
105,2022-01-03,27,광주 북구,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",(시급)9160,지적장애,중증,공단
106,2022-01-03,29,부산 해운대구,사무 보조원(일반사업체),(시급)8720,지적장애,중증,공단
107,2022-01-03,55,경기 남양주시,재가 요양보호사,(월급)1830000,신장장애,중증,공단
108,2022-01-03,47,전북 부안군,기숙사사감 및 독서실·고시원 총무,(시급)9160,뇌병변장애,중증,공단
109,2022-01-03,53,강원 춘천시,사무 보조원(공공기관),(시급)9160,정신장애,중증,공단
110,2022-01-03,64,광주 서구,생산·품질 사무원 및 관리원(건설),(시급)9720,지체장애,경증,공단
111,2022-01-03,25,울산 남구,환경 미화원,(시급)9160,지적장애,중증,공단
112,2022-01-03,27,경남 창원시,사무 보조원(일반사업체),(시급)9160,자폐성장애,중증,공단
113,2022-01-03,30,광주 광산구,농림어업 및 기타 생산 관리자,(시급)9720,지적장애,중증,공단
114,2022-01-03,25,부산 중구,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
115,2022-01-03,25,부산 부산진구,사무 보조원(일반사업체),(시급)8720,자폐성장애,중증,공단
116,2022-01-03,26,대구 북구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)8720,지적장애,중증,공단
117,2022-01-03,26,대구 달서구,사무 보조원(공공기관),(시급)8720,지적장애,중증,공단
118,2022-01-03,24,경북 김천시,주방 보조원(일반 음식점),(시급)9160,지적장애,중증,공단
119,2022-01-03,24,경남 사천시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
120,2022-01-03,51,서울 노원구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)8720,정신장애,중증,공단
121,2022-01-03,52,경북 구미시,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,지체장애,중증,공단
122,2022-01-03,45,경북 안동시,사무 보조원(공공기관),(시급)8720,신장장애,경증,공단
123,2022-01-03,47,경남 창원시,경·소형 화물차 운전원,(월급)2250000,지체장애,경증,공단
124,2022-01-03,39,인천 서구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,청각장애,중증,공단
125,2022-01-03,25,인천 미추홀구,사무 보조원(공공기관),(월급)2000000,지적장애,중증,공단
126,2022-01-03,24,경기 파주시,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",(시급)9160,지적장애,중증,공단
127,2022-01-03,64,광주 서구,생산·품질 사무원 및 관리원(기계·자동차·금속),(시급)9720,언어장애,경증,공단
128,2022-01-03,28,광주 남구,생산·품질 사무원 및 관리원(기계·자동차·금속),(시급)9720,지적장애,중증,공단
129,2022-01-03,68,대구 동구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(월급)2000000,지체장애,경증,공단
130,2022-01-03,62,경남 진주시,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,청각장애,경증,공단
131,2022-01-03,47,대전 서구,사무 보조원(공공기관),(월급)900000,지체장애,경증,공단
132,2022-01-03,24,대구 동구,사무 보조원(공공기관),(시급)9160,지적장애,중증,공단
133,2022-01-03,39,경기 성남시 분당구,직업 운동선수,(시급)9160,뇌병변장애,중증,공단
134,2022-01-03,45,서울 영등포구,환경 미화원,(시급)8720,뇌병변장애,경증,공단
135,2022-01-03,25,전북 전주시,사무 보조원(일반사업체),(시급)9160,지적장애,중증,공단
136,2022-01-03,28,서울특별시,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",(월급)1300000,정신장애,중증,공단
137,2022-01-03,23,대전 중구,사무 보조원(공공기관),(시급)9160,지적장애,중증,공단
138,2022-01-03,62,경기 고양시,승합차 운전원,(시급)9160,지체장애,경증,공단
139,2022-01-03,23,인천 계양구,사무 보조원(공공기관),(시급)9160,지적장애,중증,공단
140,2022-01-03,56,충남 공주시,기타 식품가공 종사원,(시급)9160,지체장애,중증,공단
141,2022-01-03,55,광주 북구,생산·품질 사무원 및 관리원(전기·전자·컴퓨터),(시급)8720,뇌병변장애,경증,공단
142,2022-01-03,42,서울 강남구,네트워크 관리자(클라우딩컴퓨터운영관리자),(시급)9160,지체장애,경증,공단
143,2022-01-03,29,서울 광진구,귀금속·보석 세공원,(시급)8720,지적장애,중증,공단
144,2022-01-03,33,서울 동대문구,귀금속·보석 세공원,(시급)9160,지적장애,중증,공단
145,2022-01-03,47,대전 유성구,사무 보조원(공공기관),(시급)9160,정신장애,중증,공단
146,2022-01-03,39,전남 목포시,사무 보조원(공공기관),(시급)9160,정신장애,중증,공단
147,2022-01-03,22,서울 서초구,음료 조리사(바리스타 포함),(시급)8720,지적장애,중증,공단
148,2022-01-03,22,부산 동래구,사서,(시급)9460,자폐성장애,중증,공단
149,2022-01-03,22,부산 중구,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
150,2022-01-03,27,경기 화성시(화성),"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",(월급)1000000,지적장애,중증,공단
151,2022-01-03,70,울산 울주군,시설 요양보호사(노인요양사),(시급)9160,지체장애,경증,공단
152,2022-01-03,27,경남 창원시 의창구,주방 보조원(일반 음식점),(시급)8720,지적장애,중증,공단
153,2022-01-03,59,경남 사천시,안마사,(시급)9160,시각장애,중증,공단
154,2022-01-03,62,서울 구로구,사무 보조원(일반사업체),(시급)9160,지체장애,경증,공단
155,2022-01-03,35,경남 창원시,사무 보조원(일반사업체),(시급)9160,정신장애,중증,공단
156,2022-01-03,25,인천 미추홀구,공예원,(시급)9160,자폐성장애,중증,공단
157,2022-01-03,54,경남 진주시,사무 보조원(공공기관),(시급)9160,뇌병변장애,경증,공단
158,2022-01-03,41,경남 산청군,안마사,(시급)9160,시각장애,중증,공단
159,2022-01-03,21,전남 순천시,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
160,2022-01-03,22,서울 구로구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,지적장애,중증,공단
161,2022-01-03,26,경기 안양시,음료 조리사(바리스타 포함),(시급)8720,지적장애,중증,공단
162,2022-01-03,21,충북 진천군,사무 보조원(공공기관),(시급)9160,지적장애,중증,공단
163,2022-01-03,53,울산 북구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,언어장애,경증,공단
164,2022-01-03,46,서울 영등포구,음식서비스 관리자,(시급)9160,시각장애,경증,공단
165,2022-01-03,23,대구 동구,사무 보조원(공공기관),(시급)8720,지적장애,중증,공단
166,2022-01-03,52,경남 김해시,안마사,(시급)9160,시각장애,중증,공단
167,2022-01-03,27,경남 창원시 의창구,사무 보조원(공공기관),(시급)9160,뇌병변장애,경증,공단
168,2022-01-03,26,서울 광진구,사무 보조원(일반사업체),(시급)9160,지적장애,중증,공단
169,2022-01-03,22,인천 부평구,기계·금속 분야 단순 종사원,(시급)9160,지적장애,중증,공단
170,2022-01-03,62,충남 천안시,경비원(건물 관리원),(월급)2000000,지체장애,경증,공단
171,2022-01-03,25,경북 경산시,사무 보조원(일반사업체),(시급)9160,시각장애,중증,공단
172,2022-01-03,23,대구 남구,음료 조리사(바리스타 포함),(월급)2000000,지적장애,중증,공단
173,2022-01-03,68,강원 춘천시,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,지체장애,중증,공단
174,2022-01-03,73,대구 서구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,지체장애,경증,공단
175,2022-01-03,59,서울 중랑구,사회복지사(사회복지시설),(월급)1850000,지체장애,경증,공단
176,2022-01-03,67,울산 울주군,환경 미화원,(시급)9160,청각장애,경증,공단
177,2022-01-03,21,전남 순천시,음료 조리사(바리스타 포함),(시급)9160,청각장애,중증,공단
178,2022-01-03,22,경기 안산시 상록구,음료 조리사(바리스타 포함),(시급)8720,지적장애,중증,공단
179,2022-01-03,19,전남 순천시,사무 보조원(공공기관),(시급)9160,지적장애,중증,공단
180,2022-01-03,46,경기 안양시,간판 제작·설치원,(월급)3000000,청각장애,경증,공단
181,2022-01-03,21,경기 의정부시,의료 보조원,(시급)9160,지적장애,중증,공단
182,2022-01-03,43,강원 횡성군,기계·금속 분야 단순 종사원,(시급)9160,정신장애,중증,공단
